source_id,target_id,relationship_type,strength,co_mention_count,roles
312e0f76-97a0-4984-ab4c-3c0a7093b684,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,1.0,28,subject|location
312e0f76-97a0-4984-ab4c-3c0a7093b684,e540072b-bee0-42dd-bc9b-9c3c464ffca6,co_mentioned,1.0,10,subject|location
cd74511d-7d0a-4058-8852-eb1ac5d880d5,e678d8ba-493e-478a-a140-d62190802ff1,co_mentioned,0.3,3,subject|location
1d20a27c-3fd0-438a-b62a-0b783ed1751b,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.5,5,subject|location
06f02832-8701-47a3-b77f-47ef036ac773,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.8,8,subject|location
54a93993-41e1-4851-8416-7c1f207cd668,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.4,4,subject|location
193f4769-6fe4-4912-bad1-76edc2c6d5fb,ab93f96f-70b6-45bf-bcc6-63987d64b79e,co_mentioned,0.5,5,subject|location
7052d46c-23da-49e7-b1e7-17a9a8e39fe9,ae858c5b-ecc2-49cd-a930-82240a57a33b,co_mentioned,0.3,3,subject|location
40ac61ca-9888-478a-b4c2-59f9dfedd2a6,ae858c5b-ecc2-49cd-a930-82240a57a33b,co_mentioned,0.2,2,subject|location
0f49fde4-5ce4-419c-9198-eb7cb2690453,af1b98d6-963f-43f4-aac8-756c736efdf6,co_mentioned,0.3,3,subject|location
94858413-856e-4d41-aab8-fd812471e06c,cd74511d-7d0a-4058-8852-eb1ac5d880d5,co_mentioned,0.1,1,subject|location
94858413-856e-4d41-aab8-fd812471e06c,ac7d02f3-a885-4be5-8a6d-12e7f93398c7,co_mentioned,0.1,1,subject|location
6b656648-6c00-4f43-b6fd-7804f5d65396,d53dade2-bfa9-46f5-8bdb-fe8d425b695e,co_mentioned,0.1,1,subject|location
0690a50e-7244-45cd-88ac-ef95b815765d,9b71315f-5a0b-411f-bfa2-a91e22fa6b8e,co_mentioned,0.1,1,subject|object
0cc0e1f6-414f-40ff-bc84-7d92572f3685,4a169e09-043a-4d95-a9cb-02afe768227e,co_mentioned,0.1,1,subject|location
1a61c267-6ede-4e79-ac6a-cd180d0eac36,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,1.0,10,subject|location
312e0f76-97a0-4984-ab4c-3c0a7093b684,5aaed6b3-9547-491e-a52e-e44a5be4afac,co_mentioned,1.0,14,subject|location
1a61c267-6ede-4e79-ac6a-cd180d0eac36,5aaed6b3-9547-491e-a52e-e44a5be4afac,co_mentioned,0.6,6,subject|location
312e0f76-97a0-4984-ab4c-3c0a7093b684,b13ffc81-1016-479f-ad93-342c28f697e8,co_mentioned,1.0,10,subject|location
1a61c267-6ede-4e79-ac6a-cd180d0eac36,b13ffc81-1016-479f-ad93-342c28f697e8,co_mentioned,1.0,10,subject|location
d0d13646-db8a-4f6c-961e-f13d2126d0f4,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.5,5,subject|object
1189cd69-1efc-4f07-a55b-8786f98b7c52,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.8,8,subject|object
64d5f279-8a80-4dc6-ad46-30899381eb0d,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.6,6,subject|object
5aaed6b3-9547-491e-a52e-e44a5be4afac,d0d13646-db8a-4f6c-961e-f13d2126d0f4,co_mentioned,0.3,3,subject|object
1189cd69-1efc-4f07-a55b-8786f98b7c52,5aaed6b3-9547-491e-a52e-e44a5be4afac,co_mentioned,0.3,3,subject|object
5aaed6b3-9547-491e-a52e-e44a5be4afac,64d5f279-8a80-4dc6-ad46-30899381eb0d,co_mentioned,0.3,3,subject|object
b13ffc81-1016-479f-ad93-342c28f697e8,d0d13646-db8a-4f6c-961e-f13d2126d0f4,co_mentioned,0.4,4,subject|object
1189cd69-1efc-4f07-a55b-8786f98b7c52,b13ffc81-1016-479f-ad93-342c28f697e8,co_mentioned,0.4,4,subject|object
64d5f279-8a80-4dc6-ad46-30899381eb0d,b13ffc81-1016-479f-ad93-342c28f697e8,co_mentioned,0.4,4,subject|object
41271cd0-c29f-4618-b4c5-923ed60c4935,e540072b-bee0-42dd-bc9b-9c3c464ffca6,co_mentioned,0.8,8,subject|location
312e0f76-97a0-4984-ab4c-3c0a7093b684,8eb69b25-442f-4529-9d1f-bfd0124a027d,co_mentioned,0.8,8,subject|location
41271cd0-c29f-4618-b4c5-923ed60c4935,8eb69b25-442f-4529-9d1f-bfd0124a027d,co_mentioned,0.8,8,subject|location
41271cd0-c29f-4618-b4c5-923ed60c4935,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.8,8,subject|location
669a4d88-b2a9-4647-a534-382f319499a6,e540072b-bee0-42dd-bc9b-9c3c464ffca6,co_mentioned,0.4,4,subject|object
1189cd69-1efc-4f07-a55b-8786f98b7c52,e540072b-bee0-42dd-bc9b-9c3c464ffca6,co_mentioned,0.4,4,subject|object
86908f29-a483-42e8-a9aa-9491604c0212,e540072b-bee0-42dd-bc9b-9c3c464ffca6,co_mentioned,0.2,2,subject|object
669a4d88-b2a9-4647-a534-382f319499a6,8eb69b25-442f-4529-9d1f-bfd0124a027d,co_mentioned,0.4,4,subject|object
1189cd69-1efc-4f07-a55b-8786f98b7c52,8eb69b25-442f-4529-9d1f-bfd0124a027d,co_mentioned,0.4,4,subject|object
86908f29-a483-42e8-a9aa-9491604c0212,8eb69b25-442f-4529-9d1f-bfd0124a027d,co_mentioned,0.2,2,subject|object
669a4d88-b2a9-4647-a534-382f319499a6,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.4,4,subject|object
86908f29-a483-42e8-a9aa-9491604c0212,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|object
7f47f5f9-6936-48d1-963c-8e2c7be25301,e540072b-bee0-42dd-bc9b-9c3c464ffca6,co_mentioned,0.2,2,subject|object
7f47f5f9-6936-48d1-963c-8e2c7be25301,8eb69b25-442f-4529-9d1f-bfd0124a027d,co_mentioned,0.2,2,subject|object
7f47f5f9-6936-48d1-963c-8e2c7be25301,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.2,2,subject|object
cd74511d-7d0a-4058-8852-eb1ac5d880d5,f278f3a4-b957-42e4-988c-b6a7f7819846,co_mentioned,0.2,2,subject|location
e678d8ba-493e-478a-a140-d62190802ff1,f2a67b29-ad02-4c80-8298-ceed539a9c8e,co_mentioned,0.2,2,subject|location
f278f3a4-b957-42e4-988c-b6a7f7819846,f2a67b29-ad02-4c80-8298-ceed539a9c8e,co_mentioned,0.2,2,subject|location
e678d8ba-493e-478a-a140-d62190802ff1,f308dca3-4097-4a0e-b88e-f3c8720d7866,co_mentioned,0.2,2,subject|location
f278f3a4-b957-42e4-988c-b6a7f7819846,f308dca3-4097-4a0e-b88e-f3c8720d7866,co_mentioned,0.2,2,subject|location
c9f7534e-db4e-48a5-bbc3-50548c03e7fb,cd74511d-7d0a-4058-8852-eb1ac5d880d5,co_mentioned,0.2,2,subject|object
4a51d580-e88f-4702-80ca-d18f8b0934ba,cd74511d-7d0a-4058-8852-eb1ac5d880d5,co_mentioned,0.2,2,subject|object
98e0459e-c6d2-4556-a72e-1e4012096ba1,cd74511d-7d0a-4058-8852-eb1ac5d880d5,co_mentioned,0.2,2,subject|object
c9f7534e-db4e-48a5-bbc3-50548c03e7fb,f2a67b29-ad02-4c80-8298-ceed539a9c8e,co_mentioned,0.2,2,subject|object
4a51d580-e88f-4702-80ca-d18f8b0934ba,f2a67b29-ad02-4c80-8298-ceed539a9c8e,co_mentioned,0.2,2,subject|object
98e0459e-c6d2-4556-a72e-1e4012096ba1,f2a67b29-ad02-4c80-8298-ceed539a9c8e,co_mentioned,0.2,2,subject|object
c9f7534e-db4e-48a5-bbc3-50548c03e7fb,f308dca3-4097-4a0e-b88e-f3c8720d7866,co_mentioned,0.2,2,subject|object
4a51d580-e88f-4702-80ca-d18f8b0934ba,f308dca3-4097-4a0e-b88e-f3c8720d7866,co_mentioned,0.2,2,subject|object
98e0459e-c6d2-4556-a72e-1e4012096ba1,f308dca3-4097-4a0e-b88e-f3c8720d7866,co_mentioned,0.2,2,subject|object
dbab680d-1269-4a6b-8850-576015bc8c2a,f9a5703f-3b0b-4568-98ab-c40ca8e82bec,co_mentioned,0.4,4,subject|location
